imdb,year,title,code
tf0093870,1987,RoboCop,Update
tf0094012,1987,Spaceballs,Update
tf0094074,1987,Superman IV: The Quest for Peace,Update
tf0094612,1988,Action Jackson,Update
tf0094625,1988,Akira,Update
tf0094721,1988,Beetle Juice,Update
tf0094862,1988,Child&#39;s Play,Update
tf0094947,1988,Dangerous Liaisons,Update
tf0095016,1988,Die Hard,Update
tf0095489,1988,The Land Before Time,Update
tf0095497,1988,The Last Temptation of Christ,Update
tf0095631,1988,Midnight Run,Update
tf0095687,1988,My Stepmother Is an Alien,Update
tf0095690,1988,Mystic Pizza,Update
tf0095889,1988,Poltergeist III,Update
tf0095953,1988,Rain Man,Update
tf0096061,1988,Scrooged,Update
tf0096256,1988,They Live,Update
tf0096320,1988,Twins,Update
tf0096438,1988,Who Framed Roger Rabbit,Update
tf0096487,1988,Young Guns,Update
tf0096754,1989,The Abyss,Update
tf0096874,1989,Back to the Future Part II,Update
tf0096895,1989,Batman,Update
tf0096928,1989,Bill &amp; Ted&#39;s Excellent Adventure,Update
tf0097165,1989,Dead Poets Society,Update
tf0097499,1989,Henry V,Update
tf0097576,1989,Indiana Jones and the Last Crusade,Update
tf0097742,1989,Licence to Kill,Update
tf0097815,1989,Major League,Update
tf0098206,1989,Road House,Update
tf0098382,1989,Star Trek V: The Final Frontier,Update
tf0098519,1989,Troop Beverly Hills,Update
tf0098546,1989,UHF,Update
tf0098724,1989,"Sex, Lies, and Videotape",Update
tf0099088,1990,Back to the Future Part III,Update
tf0099253,1990,Child&#39;s Play 2,Update
tf0099423,1990,Die Hard 2,Update
tf0099487,1990,Edward Scissorhands,Update
tf0099582,1990,Flatliners,Update
tf0099653,1990,Ghost,Update
tf0099685,1990,Goodfellas,Update
tf0099785,1990,Home Alone,Update
tf0099810,1990,The Hunt for Red October,Update
tf0099817,1990,Dark Angel (I Come in Peace),Update
tf0100263,1990,Nikita,Update
tf0100403,1990,Predator 2,Update
tf0100405,1990,Pretty Woman,Update
tf0100802,1990,Total Recall,Update
tf0100814,1990,Tremors,Update
tf0101272,1991,The Addams Family,Update
tf0101414,1991,Beauty and the Beast,Update
tf0101452,1991,Bill &amp; Ted&#39;s Bogus Journey,Update
tf0102057,1991,Hook,Update
tf0102070,1991,Hudson Hawk,Update
tf0102510,1991,The Naked Gun 2 1/2: The Smell of Fear,Update
tf0102798,1991,Robin Hood: Prince of Thieves,Update
tf0102926,1991,The Silence of the Lambs,Update
tf0102943,1991,Slacker,Update
tf0102975,1991,Star Trek VI: The Undiscovered Country,Update
tf0103060,1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Update
tf0103064,1991,Terminator 2: Judgement Day,Update
tf0103247,1991,White Fang,Update
tf0103639,1992,Aladdin,Update
tf0103644,1992,Alien 3,Update
tf0103776,1992,Batman Returns,Update
tf0103893,1992,Buffy the Vampire Slayer,Update
tf0104036,1992,The Crying Game,Update
tf0104070,1992,Death Becomes Her,Update
tf0104257,1992,A Few Good Men,Update
tf0104348,1992,Glengarry Glen Ross,Update
tf0104412,1992,Hero,Update
tf0104431,1992,Home Alone 2: Lost in New York,Update
tf0104694,1992,A League of Their Own,Update
tf0104797,1992,Malcolm X,Update
tf0104815,1992,El Mariachi,Update
tf0104868,1992,The Mighty Ducks,Update
tf0104940,1992,The Muppet Christmas Carol,Update
tf0104952,1992,My Cousin Vinny,Update
tf0105151,1992,The Player,Update
tf0105236,1992,Reservoir Dogs,Update
tf0105793,1992,Wayne&#39;s World,Update
tf0106226,1993,The Age of Innocence,Update
tf0106308,1992,Army of Darkness,Update
tf0106582,1993,Cliffhanger,Update
tf0106611,1993,Cool Runnings,Update
tf0106677,1993,Dazed and Confused,Update
tf0106977,1993,The Fugitive,Update
tf0107007,1993,Gettysburg,Update
tf0107048,1993,Groundhog Day,Update
tf0107120,1993,Hocus Pocus,Update
tf0107290,1993,Jurassic Park,Update
tf0107614,1993,Mrs. Doubtfire,Update
tf0107943,1993,The Remains of the Day,Update
tf0108052,1993,Schindler&#39;s List,Update
tf0108255,1993,Super Mario Bros.,Update
tf0108358,1993,Tombstone,Update
tf0109040,1994,Ace Ventura: Pet Detective,Update
tf0109254,1994,Beverly Hills Cop III,Update
tf0109445,1994,Clerks.,Update
tf0109446,1994,The Client,Update
tf0109504,1994,Crooklyn,Update
tf0109686,1994,Dumb &amp; Dumber,Update
tf0109707,1994,Ed Wood,Update
tf0109830,1994,Forrest Gump,Update
tf0110074,1994,The Hudsucker Proxy,Update
tf0110322,1994,Legends of the Fall,Update
tf0110357,1994,The Lion King,Update
tf0110367,1994,Little Women,Update
tf0110475,1994,The Mask,Update
